YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"WEEK ENDING","PROGRESS in PCT PLANTED","PROGRESS, 5 YEAR AVG in PCT PLANTED","PROGRESS, PREVIOUS YEAR in PCT PLANTED","PROGRESS in PCT EMERGED","PROGRESS, 5 YEAR AVG in PCT EMERGED","PROGRESS, PREVIOUS YEAR in PCT EMERGED","PROGRESS in PCT BLOOMING","PROGRESS, 5 YEAR AVG in PCT BLOOMING","PROGRESS, PREVIOUS YEAR in PCT BLOOMING","PROGRESS in PCT SETTING PODS","PROGRESS, 5 YEAR AVG in PCT SETTING PODS","PROGRESS, PREVIOUS YEAR in PCT SETTING PODS","PROGRESS in PCT DROPPING LEAVES","PROGRESS, 5 YEAR AVG in PCT DROPPING LEAVES","PROGRESS, PREVIOUS YEAR in PCT DROPPING LEAVES","PROGRESS in PCT HARVESTED","PROGRESS, 5 YEAR AVG in PCT HARVESTED","PROGRESS, PREVIOUS YEAR in PCT HARVESTED"
2018,"US TOTAL","  ","  ","   ","WEEK #16",SOYBEANS,2018-04-22,2,2,5," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #17",SOYBEANS,2018-04-29,5,5,9," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #18",SOYBEANS,2018-05-06,15,13,13," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #19",SOYBEANS,2018-05-13,35,26,29,10,6,7," "," "," "," "," "," "," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #20",SOYBEANS,2018-05-20,56,44,50,26,15,17," "," "," "," "," "," "," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #21",SOYBEANS,2018-05-27,77,62,65,47,32,34," "," "," "," "," "," "," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #22",SOYBEANS,2018-06-03,87,75,81,68,52,55," "," "," "," "," "," "," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #23",SOYBEANS,2018-06-10,93,85,91,83,69,74," "," "," "," "," "," "," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #24",SOYBEANS,2018-06-17,97,91,95,90,81,87," "," "," "," "," "," "," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #25",SOYBEANS,2018-06-24," "," "," ",95,89,93,12,5,8," "," "," "," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #26",SOYBEANS,2018-07-01," "," "," "," "," "," ",27,13,17," "," "," "," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #27",SOYBEANS,2018-07-08," "," "," "," "," "," ",47,27,32,11,4,6," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #28",SOYBEANS,2018-07-15," "," "," "," "," "," ",65,45,49,26,11,15," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #29",SOYBEANS,2018-07-22," "," "," "," "," "," ",78,63,67,44,23,27," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #30",SOYBEANS,2018-07-29," "," "," "," "," "," ",86,77,80,60,41,45," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #31",SOYBEANS,2018-08-05," "," "," "," "," "," ",92,86,89,75,58,63," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #32",SOYBEANS,2018-08-12," "," "," "," "," "," ",96,92,93,84,72,77," "," "," "," "," "," "
2018,"US TOTAL","  ","  ","   ","WEEK #33",SOYBEANS,2018-08-19," "," "," "," "," "," "," "," "," ",91,83,86," "," "," "," "," "," "
