Export Sales Query System,,,,,,,,,,,,,
Export Sales Data by Date/Commodity,,,,,,,,,,,,,
From: 01/01/2017 To: 10/17/2019,,,,,,,,,,,,,
Source: USDA/FAS/Export Sales Reporting,,,,,,,,,,,,,
10/17/2019,,,,,,,CMY,CMY,CMY,CMY,NMY,NMY,
,,,,,Weekly,Accumulated,Outstanding,Gross,Net,Total,Outstanding,Net,
,,,,,,,,,,,,,
Date,,,Commodity,Country,Exports,Exports,Sales,New Sales,Sales,Commitment,Sales,Sales,Unit Desc
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,BURMA,0,"6,396","1,050",0,0,"7,446",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,CAMEROON,0,"8,000",0,0,0,"8,000",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,CANADA,"29,812","195,763","37,118","31,506","31,422","232,881","26,905",0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,CHILE,0,"9,983",0,0,0,"9,983",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,"CHINA, PEOPLES REPUBLIC OF","141,998","33,931,580","2,127,103","63,974","129,974","36,058,683","1,042,000",0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,COLOMBIA,0,"349,708","46,570","10,150","10,150","396,278",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,COSTA RICA,0,"204,988","71,285",0,0,"276,273","15,500",0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,CUBA,0,"41,099","26,100",0,-200,"67,199",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,DOMINICAN REPUBLIC,0,"3,104",0,0,0,"3,104",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,EGYPT,0,"394,418","180,000",0,0,"574,418",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,FRANCE,0,"198,582",0,0,0,"198,582",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,GERMANY,0,"1,008,660",0,0,0,"1,008,660",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,GUATEMALA,0,"7,145",0,0,0,"7,145",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,HONG KONG,0,293,0,0,0,293,0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,INDIA,42,"1,227",0,0,0,"1,227",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,INDONESIA,"18,825","1,719,606","208,527","31,109","31,107","1,928,133","2,000","2,000",Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,IRAN,0,"80,314",0,0,0,"80,314",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,IRELAND,0,"2,566",0,0,0,"2,566",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,ISRAEL,0,"30,882",0,0,0,"30,882",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,ITALY,0,"181,155",0,0,0,"181,155",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,JAPAN,"32,875","1,660,014","371,851","25,662","25,431","2,031,865","186,330",0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,"KOREA, REPUBLIC OF",936,"627,268","81,310",0,0,"708,578","3,974",0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,KUWAIT,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,MALAYSIA,"1,671","259,136","17,225",957,957,"276,361",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,MEXICO,"68,884","2,582,519","872,249","8,621","8,099","3,454,768","228,596",0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,MOROCCO,0,"42,561","5,000",0,0,"47,561",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,NETHERLANDS,0,"1,553,223",0,0,0,"1,553,223",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,NICARAGUA,0,"2,071",0,0,0,"2,071",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,PAKISTAN,0,"466,310","186,500","65,000","65,000","652,810","66,000",0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,PANAMA,0,"24,275","6,000",0,0,"30,275",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,PERU,"5,500","123,528",0,500,500,"123,528",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,PHILIPPINES,606,"128,483","25,231","1,208","1,208","153,714",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,PORTUGAL,0,"57,812",0,0,0,"57,812",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,SAUDI ARABIA,0,"213,227",0,0,0,"213,227",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,SINGAPORE,42,"17,336",370,0,0,"17,706",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,SPAIN,0,"675,902",0,0,0,"675,902","60,000",0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,SRI LANKA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,SYRIA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,TAIWAN,"6,993","1,140,889","114,232","9,447","8,426","1,255,121","5,600","4,000",Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,THAILAND,"18,509","856,486","56,535","6,063","6,063","913,021","2,000",0,Metric Tons
05/18/2017,,,Soybeans,TUNISIA,0,"215,620",0,0,0,"215,620",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,TURKEY,0,"365,383",0,0,0,"365,383",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,UNITED KINGDOM,0,"171,717",0,0,0,"171,717",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,VENEZUELA,0,"16,616",0,0,0,"16,616",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,VIETNAM,"7,478","531,848","33,233","1,604","1,604","565,081",0,0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,EUROPEAN UNION - 27,0,"3,849,617",0,0,0,"3,849,617","60,000",0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,KNOWN,"334,682","50,810,381","4,589,891","260,301","324,241","55,400,272","1,638,905","6,000",Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,UNKNOWN,0,0,"2,427,599","214,500","148,500","2,427,599","1,246,000",0,Metric Tons
,,,,,,,,,,,,,
05/18/2017,,,Soybeans,GRAND TOTAL,"334,682","50,810,381","7,017,490","474,801","472,741","57,827,871","2,884,905","6,000",Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,BAHRAIN,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,BANGLADESH,"12,061","692,756","117,079",738,"11,238","809,835",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,BARBADOS,0,"21,993","4,500",0,0,"26,493",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,BURMA,"1,550","7,946","1,088","1,588","1,588","9,034",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,CAMEROON,0,"8,000",0,0,0,"8,000",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,CANADA,"16,432","212,195","30,137","9,451","9,451","242,332","26,905",0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,CHILE,0,"9,983",0,0,0,"9,983",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,"CHINA, PEOPLES REPUBLIC OF","72,412","34,003,992","2,064,506","11,488","9,815","36,068,498","1,042,000",0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,COLOMBIA,"29,356","379,064","30,520","6,939","13,306","409,584",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,COSTA RICA,"21,159","226,147","50,485",359,359,"276,632","15,500",0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,CUBA,0,"41,099","26,100",0,0,"67,199",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,DOMINICAN REPUBLIC,0,"3,104",0,0,0,"3,104",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,EGYPT,"66,000","460,418","120,000","6,000","6,000","580,418",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,FINLAND,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,FRANCE,0,"198,582",0,0,0,"198,582",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,GERMANY,0,"1,008,660",0,0,0,"1,008,660",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,GUATEMALA,0,"7,145",0,0,0,"7,145",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,HONG KONG,0,293,0,0,0,293,0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,INDIA,0,"1,227",0,0,0,"1,227",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,INDONESIA,"10,112","1,729,718","216,561","18,355","18,146","1,946,279","2,000",0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,IRAN,0,"80,314",0,0,0,"80,314",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,IRELAND,0,"2,566",0,0,0,"2,566",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,ISRAEL,0,"30,882",0,0,0,"30,882",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,ITALY,0,"181,155",0,0,0,"181,155",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,JAPAN,"23,722","1,683,736","395,369","48,599","47,240","2,079,105","186,371",41,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,"KOREA, REPUBLIC OF",343,"627,611","80,969",2,2,"708,580","3,974",0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,KUWAIT,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,MALAYSIA,486,"259,622","18,535","1,800","1,796","278,157","10,000","10,000",Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,MEXICO,"58,808","2,641,327","858,372","45,459","44,931","3,499,699","228,596",0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,MOROCCO,"5,440","48,001",0,440,440,"48,001",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,NETHERLANDS,0,"1,553,223",0,0,0,"1,553,223",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,NICARAGUA,0,"2,071",0,0,0,"2,071",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,PAKISTAN,0,"466,310","189,500","3,000","3,000","655,810","66,000",0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,PANAMA,0,"24,275","6,000",0,0,"30,275",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,PERU,0,"123,528",0,0,0,"123,528",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,PHILIPPINES,"1,610","130,093","27,287","3,666","3,666","157,380",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,PORTUGAL,0,"57,812",0,0,0,"57,812",0,0,Metric Tons
05/25/2017,,,Soybeans,SAUDI ARABIA,0,"213,227",0,0,0,"213,227",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,SINGAPORE,0,"17,336",370,0,0,"17,706",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,SPAIN,0,"675,902",0,0,0,"675,902","60,000",0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,SRI LANKA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,SYRIA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,TAIWAN,"12,734","1,153,623","104,102","2,658","2,604","1,257,725","5,600",0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,THAILAND,"5,022","861,508","58,062","6,551","6,549","919,570","8,000","6,000",Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,TUNISIA,0,"215,620",0,0,0,"215,620",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,TURKEY,0,"365,383",0,0,0,"365,383",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,UNITED KINGDOM,0,"171,717",0,0,0,"171,717",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,VENEZUELA,0,"16,616",0,0,0,"16,616",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,VIETNAM,"8,581","540,429","33,018","8,436","8,366","573,447",0,0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,EUROPEAN UNION - 27,0,"3,849,617",0,0,0,"3,849,617","60,000",0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,KNOWN,"345,828","51,156,209","4,432,560","175,529","188,497","55,588,769","1,654,946","16,041",Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,UNKNOWN,0,0,"2,849,297","455,697","421,698","2,849,297","1,246,000",0,Metric Tons
,,,,,,,,,,,,,
05/25/2017,,,Soybeans,GRAND TOTAL,"345,828","51,156,209","7,281,857","631,226","610,195","58,438,066","2,900,946","16,041",Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,BAHRAIN,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,BANGLADESH,313,"693,069","117,766","1,000","1,000","810,835",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,BARBADOS,0,"21,993","8,500","4,000","4,000","30,493",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,BURMA,0,"7,946",800,0,-288,"8,746",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,CAMEROON,0,"8,000",0,0,0,"8,000",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,CANADA,"8,766","220,961","49,866","28,496","28,495","270,827","26,905",0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,CHILE,0,"9,983",0,0,0,"9,983",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,"CHINA, PEOPLES REPUBLIC OF","78,580","34,082,572","1,813,285","6,390","-172,641","35,895,857","1,042,000",0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,COLOMBIA,"9,260","388,324","31,220","1,960","9,960","419,544",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,COSTA RICA,0,"226,147","50,485",0,0,"276,632","15,500",0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,CUBA,"7,200","48,299","18,900",0,0,"67,199",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,DOMINICAN REPUBLIC,0,"3,104",0,0,0,"3,104",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,EGYPT,"52,525","512,943","180,000","62,525","112,525","692,943",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,FRANCE,0,"198,582",0,0,0,"198,582",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,GERMANY,0,"1,008,660",0,0,0,"1,008,660",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,GUATEMALA,0,"7,145","2,500","2,500","2,500","9,645",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,HONG KONG,42,335,0,42,42,335,0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,INDIA,0,"1,227",0,0,0,"1,227",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,INDONESIA,"19,807","1,749,525","232,595","36,105","35,841","1,982,120","3,000","1,000",Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,IRAN,0,"80,314",0,0,0,"80,314",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,IRELAND,0,"2,566",0,0,0,"2,566",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,ISRAEL,0,"30,882",0,0,0,"30,882",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,ITALY,41,"181,196",0,41,41,"181,196",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,JAPAN,"4,390","1,688,126","389,004","8,059","-1,975","2,077,130","186,371",0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,"KOREA, REPUBLIC OF",105,"627,716","80,925",62,61,"708,641","3,974",0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,KUWAIT,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,MALAYSIA,0,"259,622","22,393","4,400","3,858","282,015","10,500",500,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,MEXICO,"114,876","2,756,203","743,120","2,230",-376,"3,499,323","246,596","18,000",Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,MOROCCO,0,"48,001",0,0,0,"48,001",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,NETHERLANDS,0,"1,553,223",0,0,0,"1,553,223",0,0,Metric Tons
06/01/2017,,,Soybeans,NICARAGUA,0,"2,071",0,0,0,"2,071",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,PAKISTAN,0,"466,310","189,500",0,0,"655,810","132,000","66,000",Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,PANAMA,0,"24,275","6,000",0,0,"30,275","5,800","5,800",Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,PERU,0,"123,528",0,0,0,"123,528",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,PHILIPPINES,"1,031","131,124","26,275",20,19,"157,399",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,PORTUGAL,0,"57,812",0,0,0,"57,812",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,SAUDI ARABIA,0,"213,227",0,0,0,"213,227",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,SINGAPORE,0,"17,336",370,0,0,"17,706",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,SPAIN,0,"675,902","200,000","70,000","200,000","875,902","190,000","130,000",Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,SRI LANKA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,SWEDEN,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,SWITZERLAND,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,SYRIA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,TAIWAN,"6,980","1,160,603","101,052","4,098","3,930","1,261,655","6,100",500,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,THAILAND,"5,613","867,121","59,458","7,232","7,009","926,579","8,000",0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,TUNISIA,0,"215,620",0,0,0,"215,620",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,TURKEY,0,"365,383",0,0,0,"365,383",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,UNITED KINGDOM,0,"171,717",0,0,0,"171,717",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,VENEZUELA,0,"16,616","6,000","6,000","6,000","22,616",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,VIETNAM,"10,005","550,434","27,146","4,189","4,133","577,580",0,0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,EUROPEAN UNION - 27,41,"3,849,658","200,000","70,041","200,041","4,049,658","190,000","130,000",Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,KNOWN,"319,534","51,475,743","4,357,160","249,349","244,134","55,832,903","1,876,746","221,800",Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,UNKNOWN,0,0,"2,764,297","169,000","-85,000","2,764,297","1,246,000",0,Metric Tons
,,,,,,,,,,,,,
06/01/2017,,,Soybeans,GRAND TOTAL,"319,534","51,475,743","7,121,457","418,349","159,134","58,597,200","3,122,746","221,800",Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,BAHRAIN,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,BANGLADESH,"54,270","747,339","124,482",0,"60,986","871,821",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,BARBADOS,0,"21,993","9,300",800,800,"31,293",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,BURMA,800,"8,746",0,0,0,"8,746",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,CAMEROON,0,"8,000",0,0,0,"8,000",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,CANADA,"2,900","223,861","69,851","22,886","22,885","293,712","26,905",0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,CHILE,0,"9,983",0,0,0,"9,983",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,"CHINA, PEOPLES REPUBLIC OF","145,013","34,227,585","1,729,729","61,457","61,457","35,957,314","1,102,000","60,000",Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,COLOMBIA,"5,500","393,824","30,920","5,200","5,200","424,744",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,COSTA RICA,0,"226,147","51,500","1,015","1,015","277,647","15,500",0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,CUBA,0,"48,299","18,900",0,0,"67,199",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,DOMINICAN REPUBLIC,0,"3,104",0,0,0,"3,104",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,EGYPT,0,"512,943","180,000",0,0,"692,943",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,FRANCE,0,"198,582",0,0,0,"198,582",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,GERMANY,0,"1,008,660",0,0,0,"1,008,660",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,GUATEMALA,0,"7,145","2,500",0,0,"9,645",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,HONG KONG,0,335,0,0,0,335,0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,INDIA,0,"1,227",0,0,0,"1,227",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,INDONESIA,"65,873","1,815,398","226,659","10,730","59,937","2,042,057","3,000",0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,IRAN,0,"80,314",0,0,0,"80,314",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,IRELAND,0,"2,566",0,0,0,"2,566",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,ISRAEL,0,"30,882",0,0,0,"30,882",0,0,Metric Tons
06/08/2017,,,Soybeans,ITALY,0,"181,196",0,0,0,"181,196",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,JAPAN,"60,287","1,748,413","381,295","6,620","52,578","2,129,708","196,904","10,533",Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,"KOREA, REPUBLIC OF",0,"627,716","80,955",30,30,"708,671","3,974",0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,KUWAIT,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,MALAYSIA,"1,296","260,918","28,297","7,200","7,200","289,215","10,500",0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,MEXICO,"47,884","2,804,087","711,705","17,144","16,469","3,515,792","246,596",0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,MOROCCO,0,"48,001",0,0,0,"48,001",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,NETHERLANDS,"84,967","1,638,190",0,"4,967","84,967","1,638,190",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,NICARAGUA,0,"2,071",0,0,0,"2,071",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,PAKISTAN,0,"466,310","189,500",0,0,"655,810","189,000","57,000",Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,PANAMA,0,"24,275","6,000",0,0,"30,275","5,800",0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,PERU,0,"123,528",0,0,0,"123,528",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,PHILIPPINES,"1,432","132,556","25,741","1,000",898,"158,297",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,PORTUGAL,0,"57,812",0,0,0,"57,812",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,SAUDI ARABIA,0,"213,227",0,0,0,"213,227",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,SINGAPORE,0,"17,336",328,0,-42,"17,664",0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,SPAIN,0,"675,902","200,000",0,0,"875,902","190,000",0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,SRI LANKA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,SWEDEN,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,SWITZERLAND,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
06/08/2017,,,Soybeans,SYRIA,0,0,0,0,0,0,0,0,Metric Tons
